TypHPW,TypDS
1,B2
2,B2
3,B2
4,B2.1
5,A1
6,B2
7,C3
8,A1
9,A4
10,B1
11,A1
12,A4
13,A1
14,B2.1
15,B2.1
16,A1
17,A2
18,B2
19,A1
20,C1
21,A1
22,B1.1
23,B1.1
24,B1.1
25,A4
26,A1
27,B1
28,B1
29,B2
30,A1
31,A1
32,B1
33,B1.2
34,A1
35,A1
36,C1
37,C1
38,C3
39,B1
40,B1
41,B1
42,B1
43,A1
44,A4
45,A1
46,B1
47,B1
48,B1
49,B2
50,B2
51,B1
52,C1.1
53,C1.1
54,B2
55,B1
56,B1
57,B1
58,C1
59,B2
60,B2
61,B2
62,B1
63,B2
64,B1.1
65,B2.1
66,B1
67,B1
68,B1
69,B1
70,B1
71,B2.1
72,B1
73,B1
74,B1.1
75,B2.1
76,B1.1
77,B1
78,C1
79,B1
80,B1
81,B2
82,B2
83,B1
84,C1
85,C3
86,C1
87,B1
88,B2
89,B3
90,B1
91,B2
92,C1
93,B1
94,A2
95,B2
96,C1
97,A1
98,B2
99,B1.1
100,B1
101,B1.1
102,B1
103,B2
104,B2.
105,B2
106,B2
107,C1
108,C1
109,B1
110,C1
111,A1
112,B2
113,B1
114,C1
115,A1
116,A4
117,B1
118,A1.1
119,A1
120,B1
121,A1
122,B1
123,B1
124,B1
125,B2
126,B1
127,B3
128,B2
129,B1
130,B1
131,B1
132,B2
133,B1.1
134,B1.1
135,B1.1
136,B1.1
137,B1.1
138,A1.1
139,B2
140,B2
141,A2
142,B1
143,A2
144,B1
145,B1
146,B1
147,B1
148,A4
149,B1
150,B1
151,B1
152,B1
153,A1
154,B1
155,C1
156,B1
157,A1
158,B1
159,B3
160,A4
161,B1
162,B1
163,B1
164,A1
165,B2
166,B1
167,B1
168,B1
169,B1
170,B1
171,B2
172,B2
173,B2
174,B1
175,B2
176,B2
177,B2
178,B2
179,B1
180,A2
181,A2
182,B1
183,B1
184,B1
185,C1
186,C3
187,C3
188,C1
189,B2
190,B1
191,C3
192,C3
193,B2
194,B2
195,B2
196,B2
197,B1
198,B1
199,B1
200,B1
201,B1
202,B3
203,A1
204,B3
205,B3
206,A1
207,A4
208,C3
209,C1
210,C1
211,C1
